TEAM,COLOR,LOGO,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
COWBOYS,COW,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/dal.png,0,10,20,32,43,55,69,80,91,99,111,122,137,151,162,176,189,197,209,218,228,235,242,245,246,253,265,281,296,309,324,335,341,351,359,364,369,374,384,390,399,408,421,430,442,448,456,464,472,485,489,502,511,522
STEELERS,PIT,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/pit.png,0,5,9,11,12,17,23,35,45,58,73,84,93,110,125,134,142,148,158,168,175,181,189,194,204,213,220,231,240,253,266,277,289,296,302,311,325,336,342,358,373,381,391,406,415,429,441,449,457,468,479,492,505,514
PATRIOTS,NWE,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ne.png,0,8,11,15,19,21,27,30,35,42,45,56,65,76,85,95,97,102,110,119,133,144,152,161,166,167,173,175,180,190,196,209,220,229,237,242,256,265,282,299,310,324,342,353,363,377,392,405,418,433,446,463,478,492
BRONCOS,DEN,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/den.png,0,4,7,12,17,22,26,31,38,45,51,60,74,84,94,102,112,114,123,136,147,160,172,180,193,198,211,219,228,235,243,256,272,289,295,306,314,323,333,343,357,366,373,381,389,393,402,415,430,442,457,466,471,477
VIKINGS,MIN,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/min.png,0,4,7,15,29,41,52,59,73,85,97,110,120,128,135,144,151,157,165,168,175,184,194,206,216,222,230,241,250,260,268,277,287,303,314,326,331,337,346,355,364,370,378,388,401,407,410,420,425,432,443,451,465,473
DOLPHINS,MIA,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/mia.png,0,3,7,12,15,25,37,54,69,80,90,96,106,117,127,135,146,156,168,184,197,205,213,219,227,240,248,260,269,280,289,297,306,317,327,339,350,359,369,373,382,388,389,400,407,414,420,427,435,443,449,459,465,472
49ERS,SFO,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/sf.png,0,6,13,20,24,35,45,53,58,64,69,77,82,84,86,92,108,111,122,140,150,160,173,186,203,218,228,243,254,270,281,294,308,321,325,331,343,354,361,363,367,374,379,386,394,400,414,427,441,449,454,456,462,466
PACKERS,GNB,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/gb.png,0,14,26,32,40,46,50,60,65,71,75,80,84,92,97,102,110,116,124,132,140,144,149,153,163,169,173,182,192,202,215,231,246,257,265,274,287,299,310,320,324,332,346,352,363,377,392,404,412,425,436,448,455,461
RAIDERS,OAK,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/oak.png,0,8,22,35,48,57,65,75,85,98,110,126,138,147,156,171,178,187,202,213,225,233,238,245,253,266,275,282,293,302,310,317,321,329,337,350,361,374,378,383,387,389,393,398,403,411,419,423,427,430,437,449,455,459
COLTS,IND,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ind.png,0,9,20,35,43,57,68,73,77,79,89,100,110,115,120,127,129,129,136,140,145,148,157,166,174,181,182,191,195,203,214,223,226,229,242,252,258,268,282,295,309,325,338,350,366,376,378,389,401,414,422,430,434,445
